developer_researcher,stage_of_development,product_category,country_name,ioc_country_code,date_last_updated,anticipated_next_steps,funder
University of Pittsburgh,Pre-clinical,Protein subunit,United States,USA,Prior to 4/20/2020,Phase I to start as early as June 2020,Unknown
"University of San Martin and CONICET, Argentina",Pre-clinical,Protein subunit,Argentina,ARG,6/12/2020,Unknown,Unknown
University of Sao Paulo,Pre-clinical,Virus-like particle,Brazil,BRA,5/19/2020,Unknown,Unknown
University of Virginia,Pre-clinical,Protein subunit,United States,USA,7/8/2020,Unknown,Unknown
University of Western Ontario,Pre-clinical,Replicating viral vector,Canada,CAN,Prior to 4/20/2020,Unknown,Unknown
University of Wisconsin-Madison / FluGen/ Bharat Biotech,Pre-clinical,Replicating viral vector,India,IND,5/4/2020,Start Phase I trial in fall 2020,Unknown
Vabiotech,Pre-clinical,Protein subunit,Vietnam,VIE,11/16/2020,Unknown,Unknown
"Valneva/ Dynavax/ National Institute for Health Research, United Kingdom",Phase III,Inactivated virus,United States,USA,6/18/2021,Phase III began April 2021; Phase I/II data announced April 2021; Phase I/II began December 2020,Unknown
Valo Therapeutics Ltd/ ImmunoScape,Pre-clinical,Non-replicating viral vector,Finland,FIN,3/28/2021,Unknown,Unknown
Vault Pharma/ University of California Los Angeles,Pre-clinical,Unknown,United States,USA,6/17/2020,Unknown,Unknown
Vaxart/ Emergent BioSolutions,Phase I,Non-replicating viral vector,United States,USA,4/28/2021,"Phase II expected to begin Q2 2021; Phase I preliminary data announced 2/3/2021; Phase I dosed October 2020; FDA clearance for Phase I trial received September 2020, recruiment expected to begin September 2020; Pre-clinical results released September 2020; Data from ongoing animal challenge study released October and November 2020",Unknown
VaxForm,Pre-clinical,Protein subunit,United States,USA,6/30/2021,Phase I expected to begin June 2021,Unknown
Vaxil Bio,Pre-clinical,Protein subunit,Canada,CAN,6/30/2021,"Vaxil has put its COVID-19 vaccine work on temporary hold as of May 31, 2021",Unknown
Vaxine Pty Ltd/ Flinders University/ Oracle/ Medytox/ Sypharma/ Oxford Expression Technologies,Phase II,Protein subunit,Australia,AUS,7/19/2021,Phase II dosed June 2021; Phase II and III will be initiated in Iran in the coming weeks as of May 2021; Phase I trial dosed July 2020,Innovate UK/ Australian Government
"Vaxxinity, Inc. (formerly COVAXX and United Neuroscience)/ University of Nebraska Medical Center (UNMC)/ DASA/ United Biomedical Inc. Asia",Phase II,Protein subunit,United States,USA,8/3/2021,"Phase I study extended with one booster dose in July 2021; Phase II/III trials expected to begin in Brazil, India, and other countries in Q2 2021; Phase I interim data announced 2/8/2021; Phase II began (Taiwan) February 2021; Phase II clinical trials granted conditional approval by Taiwan's Ministry of Health and Welfare on 1/29/2021; Phase I began (Taiwan) September 2020; Large scale human efficacy clinical trials expected to be conducted in Brazil and the US",Ministry of Health and Welfare in Taiwan
VBI Vaccines / National Research Council of Canada/ Therapure Biomanufacturing,Pre-clinical,Virus-like particle,Canada,CAN,3/14/2021,"Phase I/II trial of VBI-2902a expected to begin March 2021; Phase I trial of VBI-2905, targeting the B.1.351 variant, expected to begin mid-year 2021",Coalition for Epidemic Preparedness (CEPI)
"Verndari/ University of California, Davis",Pre-clinical,Protein subunit,United States,USA,8/27/2020,"Preliminary pre-clinical results are expected in the second half of 2020, Phase I trial is expected to begin thereafter; Selected by BARDA DRIVe for support in August 2020","Biomedical Advanced Research and Development Authority (BARDA) Division of Research, Innovation, and Ventures (DRIVe)"
"VIDO-InterVac, University of Saskatchewan",Phase I/II,Protein subunit,Canada,CAN,2/27/2021,Phase I/II dosed February 2021; Animal testing results expected in April 2020,The Government of Saskatchewan and the Canadian Federal Government
Vir Biotechnology / GSK,Pre-clinical,Unknown,United States,USA,Prior to 4/20/2020,Unknown,Unknown
Vivaldi Biosciences/ Esco Aster Pte Ltd,Pre-clinical,Unknown,United States,USA,6/2/2020,Unknown,Unknown
Walter Reed Army Institute of Research (WRAIR) / U.S. Army Medical Research and Development Command,Phase I,Protein subunit,United States,USA,6/30/2021,Phase I began recruiting April 2021,Unknown
"West China Hospital, Sichuan University",Phase II,Protein subunit,China,CHN,2/4/2021,Phase II began November 2020; Phase I began end of August 2020; Animal study data published July 2020,Unknown
Wuhan Institute of Biological Products/ Sinopharm,Phase III,Inactivated virus,China,CHN,3/22/2021,"China granted ""conditional approval"" on 2/25/2021; Applied for regulatory approval in China as of February 2021; Phase III trial began July 2020; Phase I/II early trial results released June 2020, Phase I/II interim analysis published August 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)",Unknown
Yisheng Biopharma,Pre-clinical,Protein subunit,China,CHN,6/30/2021,Clinical trials expected to begin Q2 2021,Unknown
Ziphius Therapeutics/ Ghent University,Pre-clinical,RNA-based vaccine,Belgium,BEL,4/28/2020,Unknown,Unknown
Zydus Cadila Healthcare Limited,Phase III,DNA-based,India,IND,7/29/2021,"Applied to the office of Drug Controller General of India (DCGI) for EUA on 7/1/2021; Phase III data expected to be announced May 2021; Phase III dosed January 2021; Pre-clinical results released January 2021; DCGI approved start of Phase III trial in January 2021; Phase I/II study: Phase I began July 2020 and Phase II began August 2020, initial results expected September 2020",Unknown
Zydus Cadila Healthcare Limited,Pre-clinical,Replicating viral vector,India,IND,7/8/2020,Unknown,Unknown
